ID,Search Name,Name,Vintage,Country,Region,Winery,Price,Currency,Flavor,Acidity,Intensity,Sweetness,Tannin,Sparkling,Image Link,Grapes,Wine Style,Alcohol Content,Food Pairings,URL
6349308,podere-le-ripi-cielo-d-ulisse-brunello-di-montalcino-brunello-di-montalcino-2011,Podere le Ripi Cielo d'Ulisse Brunello di Montalcino 2011,2011,Italy,Brunello di Montalcino,Podere le Ripi,200000,₩,[],3.8913145,3.1163487,1.4940755,3.6902993,,//images.vivino.com/thumbs/w7gdfFXlQBmmWk82P2BtIg_pb_x600.png,[],[],[],[],https://www.vivino.com/w/6349308?year=2011
96483,perez-cruz-maipo-valley-quelen-special-selection-2005,Perez Cruz Quelen Special Selection 2005,2005,Chile,Maipo Valley,Perez Cruz,66556,₩,[],2.9686625,4.5040545,1.9745128,3.3911655,,//images.vivino.com/thumbs/DdpP8Y4YQ_O-CRzSOO6V0g_pb_x600.png,[],[],[],[],https://www.vivino.com/w/96483?year=2005
1234367,doctors-flat-pinot-noir-2019,Doctors Flat Pinot Noir 2019,2019,New Zealand,Central Otago,Doctors Flat,54111,₩,[],3.5830543,2.295867,1.6640221,2.1451614,,//images.vivino.com/thumbs/ixeusLZRQjyxq610TF63Tg_pb_x600.png,[],[],[],[],https://www.vivino.com/w/1234367?year=2019
79273,chateau-talbot-saint-julien-grand-cru-classe-1968,Château Talbot Saint-Julien (Grand Cru Classé) 1968,1968,France,Saint-Julien,Château Talbot,325970,₩,[],4.1470113,3.79671,1.5967484,3.7823558,,//images.vivino.com/thumbs/9zhiQv6cR-SfUufc9_CK6w_pb_x600.png,[],[],[],[],https://www.vivino.com/w/79273?year=1968
1137169,es-imperial-rioja-reserva-2013,Imperial Rioja Reserva 2013,2013,Spain,Rioja,Imperial,150000,₩,[],3.7038298,3.8747141,1.677506,3.7084472,,//images.vivino.com/thumbs/Si9NaUFtTMq5PvN8pT2mfA_pb_x600.png,[],[],[],[],https://www.vivino.com/w/1137169?year=2013
96193,chateau-batailley-pauillac-grand-cru-classe-1984,Château Batailley Pauillac (Grand Cru Classé) 1984,1984,France,Pauillac,Château Batailley,184244,₩,[],4.2286263,4.25872,1.5894762,4.2001705,,//images.vivino.com/thumbs/JIBY4cJ6SAij5F42yRHtAA_pb_x600.png,[],[],[],[],https://www.vivino.com/w/96193?year=1984
1126954,chateau-calon-segur-saint-estephe-grand-cru-classe-1974,Château Calon-Ségur Saint-Estèphe (Grand Cru Classé) 1974,1974,France,Saint-Estèphe,Château Calon-Ségur,262193,₩,[],4.2276974,4.164298,1.6292368,4.2311907,,//images.vivino.com/thumbs/fmI0LPDNRKCvTFUurToCAQ_pb_x600.png,[],[],[],[],https://www.vivino.com/w/1126954?year=1974
85917,chateau-du-tertre-margaux-grand-cru-classe-1992,Château du Tertre Margaux (Grand Cru Classé) 1992,1992,France,Margaux,Château du Tertre,198416,₩,[],4.069269,3.7811923,1.5430408,3.7335966,,//images.vivino.com/thumbs/FBgvA7CxR6qaij9c2nowRQ_pb_x600.png,[],[],[],[],https://www.vivino.com/w/85917?year=1992
1152438,clos-du-marquis-saint-julien-saint-julien-1984,Clos du Marquis Saint-Julien 1984,1984,France,Saint-Julien,Clos du Marquis,144560,₩,[],4.1535063,3.8249023,1.619221,3.828649,,//images.vivino.com/thumbs/Uvv7nR6ZQ5-yGecoA6XFWA_pb_x600.png,[],[],[],[],https://www.vivino.com/w/1152438?year=1984
73478,chateau-la-lagune-haut-medoc-haut-medoc-3eme-grand-cru-classe-en-1855-1969,Château La Lagune Haut-Médoc (3éme Grand Cru Classé en 1855) 1969,1969,France,Haut-Médoc,Château La Lagune,297624,₩,[],4.1716022,4.124867,1.6406207,4.1625347,,//images.vivino.com/thumbs/5PmFq7XiRCWHNs2QL_A_8A_pb_x600.png,[],[],[],[],https://www.vivino.com/w/73478?year=1969
